Ticker,2023_MarketCap
MCS,422541120
MCY,2897237504
MD,749932096
MDB,26997762048
MDC,4726503936
MDGL,4236682752
MDLZ,97515200512
MDRX,834209984
MDT,106723532800
MDU,5062539264
MED,300171456
MEDP,12336660480
MEI,438488320
MEIP,20521608
MERC,682535424
MESA,37636420
MET,51005837312
MFA,1086958848
MG,272705792
MGEE,2818825984
MGM,12802691072
MGNX,908046912
MGPI,1781800064
MGRC,2675071744
MGY,5240033792
MGYR,75788264
MHH,101021248
MHK,7538400256
MHLD,299603584
MHO,3297179392
MIDD,7501351936
MIND,8241947
MITK,589561600
MITT,164934560
MKC,20360800256
MKL,18982047744
MKSI,8240450560
MKTX,7617466880
MLAB,555155072
MLI,6457421824
MLM,36850884608
MLP,390667872
MLR,562259392
MLSS,48259320
MMC,97963393024
MMI,1240294528
MMM,53764558848
MMS,4916689408
MMSI,4291844864
MNKD,1134469888
MNOV,64167144
MNR,1998800128
MNRO,813187584
MNST,56180498432
MNTX,108333360
MO,75309490176
MOD,4907533312
MODN,1170665984
MOFG,326334592
MOH,19989964800
MORN,12150864896
MOS,9991659520
MOTS,380915
MOV,571748736
MPAA,116794656
MPB,346390336
MPC,68085485568
MPW,2899707136
MPWR,33330839552
MPX,389835776
MRAM,159941104
MRC,970504384
MRCY,1712115456
MRIN,9334689
MRK,329648504832
MRKR,38104412
MRNS,76359584
MRO,15529886720
